id,imageUrl,sponsored,title,stars,ratingsCount,sales,price,pre_price,coupon,coupon_text,prime,url
21_1_21,https://m.media-amazon.com/images/I/61WVdpc56pL._AC_UL400_.jpg,False,FUJITSU LIFEBOOK A746 ■15.6インチFHD(1920x1080) / 第6世代Core i3-6100U＠2.3GHz / メモリ8GB / SSD 256GB / WiFi / Bluetooth / HDMI / Win11搭載 /Office H&B 2019 (整備済み品),5つ星のうち3.4,8,,"25,800",,False,,True,https://www.amazon.co.jp/LIFEBOOK-■15-6インチFHD-1920x1080-i3-6100U＠2-3GHz-Bluetooth/dp/B0C7HK67BS/ref=sr_1_21?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-21
22_1_22,https://m.media-amazon.com/images/I/61KFkHUXwaL._AC_UL400_.jpg,False,富士通 東芝 レノボ NEC ‎ノートパソコン Celeron&i3 メモリー4GB 高速SSD128GB 大画面15.6型 Windows11 MS Office2019 WIFI 無線LAN USB3.0 初期設定不要 初心者向け ノートPC パソコン日本語キーボード (整備済み品),5つ星のうち3.0,2,,"11,800",,False,,True,https://www.amazon.co.jp/‎ノートパソコン-高速SSD128GB-Windows11-Office2019-パソコン日本語キーボード/dp/B0C9899ZPD/ref=sr_1_22?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-22
23_1_23,https://m.media-amazon.com/images/I/71DA0zQ5weL._AC_UL400_.jpg,False,FUJITSU ノートパソコン LIFEBOOK P727 第7世代Core i5 7300U 2.6GHz/360度画面回転により/ タッチパネル対応/8G/SSD 256G/Windows11/FHD 1920*1080/Webカメラ/WiFi/Bluetooth/12.5インチ 富士通ノートPC Office2019搭載 (Kings PC Store) (整備済み品) (8G SSD:128GB),5つ星のうち4.0,55,,"30,800","￥35,800",True,"￥3,000 OFF ",True,https://www.amazon.co.jp/LIFEBOOK-P727-360度画面回転により-Windows11-Office2019搭載/dp/B0C4YG4GLR/ref=sr_1_23?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-23
24_1_24,https://m.media-amazon.com/images/I/510Ypqh5ZdL._AC_UL400_.jpg,False,良品senrakuen ノートパソコン 東芝DynabookSatelliteB552シリーズ 第世代 COREi7-3520M /8GB SSD256GB/ノートPC/15.6型/Win 11/MS Office/DVDマルチ/内蔵WIFI/USB3.0（整備済み）,5つ星のうち4.1,221,,"14,605","￥18,800",False,,False,https://www.amazon.co.jp/ノートパソコン-東芝DynabookSatelliteB552シリーズ-COREi7-3520M-SSD512GB-USB3-0（整備済み）/dp/B0B5XN7P6D/ref=sr_1_24?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-24
25_1_25,https://m.media-amazon.com/images/I/71MPa7SEI6L._AC_UL400_.jpg,False,ノートパソコン windows11 初期設定済み CF-SZ6 シリーズ 高性能第7世代 Core i5 /2.6GHz パソコン ノート【MS Office搭載】【Win11搭載】/日本語キーボード/メモリー8GB/SSD:256GB /12.1インチ液晶/無線LAN搭載/HDMI /初期設定不要 /初心者向け/テレワーク応援/在宅勤務/ノートPC(メモリ:8GB SSD:256GB) (整備済み品),5つ星のうち4.0,151,,"17,600","￥22,600",False,,False,https://www.amazon.co.jp/ノートパソコン-高性能第7世代-Office搭載】【Win11搭載】-日本語キーボード-メモリー8GB/dp/B09K6442M9/ref=sr_1_25?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-25
26_1_26,https://m.media-amazon.com/images/I/71sQBsoUjbL._AC_UL400_.jpg,False,デル 2in1ノートパソコン Dell Latitude 5285/第7世代 Core-i5-7200U/8GB/SSD256GB/Office搭載/Windows11/ 12.3インチ タブレット(1920 x 1280) フルHD/Webカメラ/USB Type-C/WIFI/Bluetooth/ NoteBook PC office付き(Kings PC Store)(整備済み品),5つ星のうち3.6,70,,"35,800",,True,"￥6,000 OFF ",True,https://www.amazon.co.jp/2in1ノートパソコン-Dell-5285-第7世代Core-i5-7200U-Windows11/dp/B0BWN2GRD6/ref=sr_1_26?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-26
27_1_27,https://m.media-amazon.com/images/I/714v+-J88pL._AC_UL400_.jpg,False,"Dell Inspiron 15 3511 ノートパソコン NI355A-CHHBB ブラック (Intel 第11世代 Core i5-1135G7,8GB,256GB SSD,15.6インチFHD,Microsoft Office Home&Business 2021)",5つ星のうち3.8,46,36% OFF,"69,800","￥109,800",False,,True,https://www.amazon.co.jp/Dell-NI355A-CHHBB-i5-1135G7-15-6インチFHD-Microsoft/dp/B0C147ZXHL/ref=sr_1_27?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-27
28_1_28,https://m.media-amazon.com/images/I/718XrbqIR9L._AC_UL400_.jpg,False,富士通 ノートパソコン A574/YQQ ワイヤレスマウス/15.6型/MS Office 2019/Win11/Core i3-4000M/HDMI/WIFI/Bluetooth/DVD (整備済み品) 4GB SSD 128GB,5つ星のうち4.0,54,,"14,800",,False,,True,https://www.amazon.co.jp/A574-YQQ-ワイヤレスマウス-i3-4000M-Bluetooth/dp/B0B2M39LFB/ref=sr_1_28?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-28
29_1_29,https://m.media-amazon.com/images/I/71RbcJfe+EL._AC_UL400_.jpg,False,【Amazon.co.jp限定】 ASUS ノートパソコン Vivobook 15 M1502IA Windows11 WPS office搭載 15.6型 メモリ8GB Webカメラ内蔵 M1502IA-BQ335W,5つ星のうち4.4,39,,"59,980",,False,,True,https://www.amazon.co.jp/【Amazon-co-jp限定】-ASUS-Windows11-バッテリー駆動8-7時間-M1502IA-BQ335W/dp/B0BSNKP8PW/ref=sr_1_29?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-29
30_1_30,https://m.media-amazon.com/images/I/71aY4N27e2L._AC_UL400_.jpg,False,HP ノートパソコン HP 15s-fq5000 15.6インチ インテル Core i5-1235U 16GBメモリ 512GB SSD フルHD Windows11 ナチュラルシルバー Microsoft Office付き(型番:6F8T8PA-AAAB),5つ星のうち4.2,177,,"117,400","￥136,182",True,"￥12,600 OFF ",True,https://www.amazon.co.jp/HP-15s-fq5000-Windows11-ナチュラルシルバー-Microsoft/dp/B0BH8LS9MZ/ref=sr_1_30?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-30
